seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,leave_one_out_optimization_loss,leave_one_out_engine,leave_one_out_engine_losses,contribution_share,optimization_after
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,15,True,3.697449648706734e-05,0.2,0.01048244535923004,0.01048244535923004,0.025510168075561526,custom,"{""bfgs"": 0.06151980012655258, ""custom"": 0.025510168075561526}",0.5771324013523095,0.38856620067615466
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,1,False,0.14984511474643689,0.2,0.001613820592562357,0.001613820592562357,0.019542540609836578,custom,"{""bfgs"": 0.036352045834064484, ""custom"": 0.019542540609836578}",0.09223636469067263,0.1461181823453363
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,2,False,0.4737265966771876,0.2,0.0013263573249181117,0.0013263573249181117,0.019620251655578617,custom,"{""bfgs"": 0.07117873132228851, ""custom"": 0.019620251655578617}",0.07651918160605414,0.13825959080302705
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,3,False,0.231964695539853,0.2,0.0009823404252529127,0.0009823404252529127,0.019717014580965045,custom,"{""bfgs"": 0.05273331254720688, ""custom"": 0.019717014580965045}",0.05770990332660366,0.1288549516633018
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,4,False,0.14442661854003544,0.2,0.0035189862052599583,0.0035189862052599583,0.01964917629957199,custom,"{""bfgs"": 0.05388355106115342, ""custom"": 0.01964917629957199}",0.19640214902436018,0.19820107451218005
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,15,True,3.697449648706734e-05,0.38856620067615466,0.006814837455749512,0.006814837455749512,0.017876402138638288,custom,"{""bfgs"": 0.060444433340380965, ""custom"": 0.017876402138638288}",0.848873919376264,0.29428310033807736
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,1,False,0.14984511474643689,0.1461181823453363,-4.262973864875563e-06,0.0,0.013575161187966865,custom,"{""bfgs"": 0.03747213710412763, ""custom"": 0.013575161187966865}",0.004,0.17305909117266818
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,2,False,0.4737265966771876,0.13825959080302705,0.0010899404684702532,0.0010899404684702532,0.013810589247661499,custom,"{""bfgs"": 0.08018616906813081, ""custom"": 0.013810589247661499}",0.13912608062373596,0.16912979540151357
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,3,False,0.231964695539853,0.1288549516633018,-2.117206652959419e-05,0.0,0.013584900130556413,custom,"{""bfgs"": 0.057019264570501105, ""custom"": 0.013584900130556413}",0.004,0.16442747583165093
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,4,False,0.14442661854003544,0.19820107451218005,-1.7856558163983904e-06,0.0,0.013575015652300565,custom,"{""bfgs"": 0.044221883973439596, ""custom"": 0.013575015652300565}",0.004,0.19910053725609006
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,15,True,3.697449648706734e-05,0.29428310033807736,0.0005332827568054199,0.0005332827568054199,0.017742730279683958,custom,"{""bfgs"": 0.060982116733466776, ""custom"": 0.017742730279683958}",0.2757649451810398,0.24714155016903872
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,1,False,0.14984511474643689,0.17305909117266818,0.00027086461583773064,0.00027086461583773064,0.016552634340537026,custom,"{""bfgs"": 0.03691209146909606, ""custom"": 0.016552634340537026}",0.14203466647897464,0.18652954558633408
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,2,False,0.4737265966771876,0.16912979540151357,0.0001542257765928881,0.0001542257765928881,0.01653377545192206,custom,"{""bfgs"": 0.07568245019520967, ""custom"": 0.01653377545192206}",0.08259462768371953,0.1845648977007568
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,3,False,0.231964695539853,0.16442747583165093,0.000658523291349411,0.000658523291349411,0.01662773544768075,custom,"{""bfgs"": 0.054876288558853986, ""custom"": 0.01662773544768075}",0.3395884732633675,0.18221373791582549
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,2,4,False,0.14442661854003544,0.19910053725609006,0.000306151807308197,0.000306151807308197,0.016563389588403126,custom,"{""bfgs"": 0.05190538363386152, ""custom"": 0.016563389588403126}",0.16001728739289856,0.19955026862804504
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,3,15,True,3.697449648706734e-05,0.24714155016903872,-0.00013484805822372437,0.0,0.01834352922949516,custom,"{""bfgs"": 0.06125095843000969, ""custom"": 0.01834352922949516}",0.004,0.22357077508451934
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,3,1,False,0.14984511474643689,0.18652954558633408,0.0008858268459637983,0.0008858268459637983,0.018044165561686816,custom,"{""bfgs"": 0.03663206865158027, ""custom"": 0.018044165561686816}",0.1370002929795259,0.19326477279316703
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,3,2,False,0.4737265966771876,0.1845648977007568,0.0009660199284553528,0.0009660199284553528,0.018059637447284626,custom,"{""bfgs"": 0.07343059075874908, ""custom"": 0.018059637447284626}",0.14904068610478,0.19228244885037837
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,3,3,False,0.231964695539853,0.18221373791582549,0.0006998504201571158,0.0006998504201571158,0.01808120089798146,custom,"{""bfgs"": 0.05380480055303044, ""custom"": 0.01808120089798146}",0.10907731996027663,0.19110686895791273
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,3,4,False,0.14442661854003544,0.19955026862804504,0.003975433607896171,0.003975433607896171,0.019501974340352838,custom,"{""bfgs"": 0.05126546811301946, ""custom"": 0.019501974340352838}",0.6008817009554175,0.19977513431402252
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,4,15,True,3.697449648706734e-05,0.22357077508451934,0.00923977295557658,0.00923977295557658,0.024272033770663778,custom,"{""bfgs"": 0.06138537927828113, ""custom"": 0.024272033770663778}",0.523439472202734,0.21885662006761547
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,4,1,False,0.14984511474643689,0.19326477279316703,0.0015166377027829477,0.0015166377027829477,0.01889333798923458,custom,"{""bfgs"": 0.036492057242822375, ""custom"": 0.01889333798923458}",0.08926199633302363,0.19461181823453363
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,4,2,False,0.4737265966771876,0.19228244885037837,0.0013796364267667123,0.0013796364267667123,0.01883551499751242,custom,"{""bfgs"": 0.07230466104051879, ""custom"": 0.01883551499751242}",0.08156008949536438,0.1938259590803027
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,4,3,False,0.231964695539853,0.19110686895791273,0.0006871918837229422,0.0006871918837229422,0.018927617836537354,custom,"{""bfgs"": 0.053269056550118654, ""custom"": 0.018927617836537354}",0.04263239833914003,0.1928854951663302
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,4,4,False,0.14442661854003544,0.19977513431402252,0.004608970135450363,0.004608970135450363,0.02082295266019908,custom,"{""bfgs"": 0.05801560592095725, ""custom"": 0.02082295266019908}",0.26310604362973816,0.199820107451218
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,5,15,True,3.697449648706734e-05,0.21885662006761547,0.010443379481633503,0.010443379481633503,0.024759652334759425,custom,"{""bfgs"": 0.06141226344793542, ""custom"": 0.024759652334759425}",0.5091969297793153,0.23337363555320045
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,5,1,False,0.14984511474643689,0.19461181823453363,0.0019651887317498513,0.0019651887317498513,0.018993667380949843,custom,"{""bfgs"": 0.036464054961070795, ""custom"": 0.018993667380949843}",0.09906571272861965,0.18983451295923795
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,5,2,False,0.4737265966771876,0.1938259590803027,0.0018526017665863037,0.0018526017665863037,0.01905659991327675,custom,"{""bfgs"": 0.07207947509687274, ""custom"": 0.01905659991327675}",0.09361933502743337,0.18881562787765924
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,5,3,False,0.231964695539853,0.1928854951663302,0.001250825822353363,0.001250825822353363,0.019074454564019783,custom,"{""bfgs"": 0.053161907749536295, ""custom"": 0.019074454564019783}",0.06450851319277785,0.18646664606765256
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,5,4,False,0.14442661854003544,0.199820107451218,0.004746464391549427,0.004746464391549427,0.020284152635536446,custom,"{""bfgs"": 0.05834764899750404, ""custom"": 0.020284152635536446}",0.23360950927185392,0.2015095775422498
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,6,15,True,3.697449648706734e-05,0.23337363555320045,0.0040512407819430045,0.0040512407819430045,0.019863468855544922,custom,"{""bfgs"": 0.06137508672997296, ""custom"": 0.019863468855544922}",0.36626066758820736,0.23337363555320045
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,6,1,False,0.14984511474643689,0.18983451295923795,0.0009534234801928214,0.0009534234801928214,0.018409335567138814,custom,"{""bfgs"": 0.03651560198601977, ""custom"": 0.018409335567138814}",0.08925482562487262,0.18983451295923795
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,6,2,False,0.4737265966771876,0.18881562787765924,0.001197628676891327,0.001197628676891327,0.01846172260418144,custom,"{""bfgs"": 0.07279970616567105, ""custom"": 0.01846172260418144}",0.111091576967527,0.18881562787765924
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,6,3,False,0.231964695539853,0.18646664606765256,0.00045884400606155396,0.00045884400606155396,0.018555013497389798,custom,"{""bfgs"": 0.053528389698709086, ""custom"": 0.018555013497389798}",0.045029685694214686,0.18646664606765256
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,6,4,False,0.14442661854003544,0.2015095775422498,0.004298418760299683,0.004298418760299683,0.020289373450861202,custom,"{""bfgs"": 0.05187516995260458, ""custom"": 0.020289373450861202}",0.38836324412517836,0.2015095775422498
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,7,15,True,3.697449648706734e-05,0.23337363555320045,0.0040512407819430045,0.0040512407819430045,0.019863468855544922,custom,"{""bfgs"": 0.06137508672997296, ""custom"": 0.019863468855544922}",0.36626066758820736,0.23337363555320045
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,7,1,False,0.14984511474643689,0.18983451295923795,0.0009534234801928214,0.0009534234801928214,0.018409335567138814,custom,"{""bfgs"": 0.03651560198601977, ""custom"": 0.018409335567138814}",0.08925482562487262,0.18983451295923795
