seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,round,target_error,stage3_engine,stage3_engine_losses,evaluation_loss,delivered_solution_evaluation_loss,full_solution_source,loo_search_objective,consistency_l1,raw_consistency_l1,update_l1,eta_used,update_accepted,current_state_accepted,proposal_generated,gate_triggered,eval_loss_delta,informative,solver_audit_status,solver_audit_agent_id,solver_audit_full_loss,solver_audit_best_loo_loss,solver_audit_improvement,solver_recovery_attempts,solver_recovery_success,stage3_requests_cumulative,contribution_requests_cumulative
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,0,0.025548551012645616,custom,"{""bfgs"": 0.012106880933667222, ""custom"": 0.001886578509584069}",0.0018865785095840693,0.0018865785095840693,stage3_l_opt,l_opt_current_alpha,0.43741500332952454,0.44634184013216793,0.2187075016647623,0.5,False,True,True,False,,True,not_needed,,,,,0,False,564,1362
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,1,0.0253367554236994,custom,"{""bfgs"": 0.023853178706508285, ""custom"": 0.004257455719508701}",0.004981793773670991,0.004981793773670991,stage3_l_opt,l_opt_current_alpha,1.1713367071428562,1.1980033738095228,0.10935375083238114,0.25,False,False,True,True,0.0030952152640869217,True,not_needed,,,,,0,False,1401,2883
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,2,0.025272133052689494,custom,"{""bfgs"": 0.015283139262536922, ""custom"": 0.004635964261975338}",0.004990705909828345,0.004990705909828345,stage3_l_opt,l_opt_current_alpha,1.2390016869047615,1.2656683535714282,0.054676875416190596,0.125,False,False,True,True,0.003104127400244276,True,not_needed,,,,,0,False,2148,4119
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,3,0.025795166566551696,custom,"{""bfgs"": 0.05815499069667586, ""custom"": 0.0019335302215385609}",0.0020820763117323318,0.0020820763117323318,stage3_l_opt,l_opt_current_alpha,0.8254421847418183,0.8427133392372683,0.027338437708095353,0.0625,False,False,True,True,0.00019549780214826252,True,not_needed,,,,,0,False,3516,6453
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,4,0.025902990657465187,custom,"{""bfgs"": 0.08157564515001808, ""custom"": 0.0018244909224279082}",0.001901015251254042,0.001901015251254042,stage3_l_opt,l_opt_current_alpha,0.4132211611935734,0.4222121734160565,0.02582632257459838,0.0625,True,True,True,False,1.4436741669972665e-05,True,not_needed,,,,,0,False,4380,7425
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,5,0.025226067150815094,custom,"{""bfgs"": 0.01610000513050351, ""custom"": 0.0017670344600246265}",0.0018774229877938826,0.0018774229877938826,stage3_l_opt,l_opt_current_alpha,0.3822975740927516,0.3911845605085771,0.023893598380796965,0.0625,True,True,True,False,-2.3592263460159302e-05,True,not_needed,,,,,0,False,4860,8532
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,6,0.025454455640875298,custom,"{""bfgs"": 0.05119673125935731, ""custom"": 0.004665086803572142}",0.00492857675999403,0.00492857675999403,stage3_l_opt,l_opt_current_alpha,1.2590307311781836,1.2856973978448503,0.019114878704637572,0.05,False,False,True,True,0.0030511537722001476,True,not_needed,,,,,0,False,5946,9744
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,7,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,6657,11514
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,8,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,7368,13284
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,9,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,8079,15054
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,10,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,8790,16824
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,11,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,9501,18594
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,12,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,10212,20364
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,13,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,10923,22134
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,14,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,11634,23904
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,15,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,12345,25674
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,16,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,13056,27444
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,17,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,13767,29214
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,18,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,14478,30984
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,19,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,15189,32754
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,20,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,15900,34524
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,21,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,16611,36294
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,22,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,17322,38064
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,23,0.02545393658989254,custom,"{""bfgs"": 0.00842324593033657, ""custom"": 0.004680717294909109}",0.004927823009590308,0.004927823009590308,stage3_l_opt,l_opt_current_alpha,1.2619785510366364,1.2886452177033032,0.019114878704637572,0.05,False,False,True,True,0.0030504000217964258,True,not_needed,,,,,0,False,18033,39834
